scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Digital Payment Safety Campaign,Government,All,All,All,All,India-wide,Promote Safe Digital Payments,All residents with access to digital devices,"Awareness, safety tips, fraud prevention",Participate via online webinars or local workshops,https://digitalpay.in,Interest rate 5-8%,Ongoing,,,अंकीय भुगतान सुरक्षा अभियान,डिजिटल पेमेंट सेफ्टी मोहीम,सुरक्षित डिजिटल भुगतान को बढ़ावा देना,सुरक्षित डिजिटल पेमेंट्सची जाहिरात करा,डिजिटल उपकरणों तक पहुंच वाले सभी निवासी,डिजिटल डिव्हाइसमध्ये प्रवेश असलेले सर्व रहिवासी,"जागरूकता, सुरक्षा युक्तियाँ, धोखाधड़ी की रोकथाम","जागरूकता, सुरक्षितता टिप्स, फसवणूक प्रतिबंध",ऑनलाइन वेबिनार या स्थानीय कार्यशालाओं के माध्यम से भाग लें,ऑनलाइन वेबिनार किंवा स्थानिक कार्यशाळांद्वारे भाग घ्या,वार्षिक रिटर्न 4-6%,वार्षिक परतावा 6-9%,चल रहे,चालू आहे
Agricultural Credit Guarantee Scheme,Government,All,All,All,All,Agricultural regions,Credit Risk Mitigation for Farmers,Farmers seeking credit,"Guarantee cover for loans, risk mitigation",Apply through banks and cooperative societies,https://acgs.in,Interest rate 7-10%,Ongoing,,,कृषि ऋण गारंटी योजना,कृषी पत हमी योजना,किसानों के लिए क्रेडिट जोखिम शमन,शेतक for ्यांसाठी पत जोखीम कमी करणे,क्रेडिट मांगने वाले किसान,पत मिळविणारे शेतकरी,"ऋण के लिए गारंटी कवर, जोखिम शमन","कर्जाची हमी, जोखीम कमी करणे",बैंकों और सहकारी समितियों के माध्यम से आवेदन करें,बँका आणि सहकारी संस्थांद्वारे अर्ज करा,ब्याज दर 7-10%,वार्षिक परतावा 6-9%,चल रहे,चालू आहे
Start-up Incubation Support,Private,19-35,All,All,All,India-wide,Support Startup Incubators and Entrepreneurs,Registered incubators and startups,"Funding, mentorship, workspace",Apply via official incubation portals,https://startupincubator.in,Interest rate 6-8%,1-3 years,,,स्टार्ट-अप ऊष्मायन समर्थन,स्टार्ट-अप इनक्युबेशन समर्थन,स्टार्टअप इनक्यूबेटर और उद्यमियों का समर्थन करें,स्टार्टअप इनक्यूबेटर आणि उद्योजकांना समर्थन द्या,पंजीकृत इनक्यूबेटर और स्टार्टअप,नोंदणीकृत इनक्यूबेटर आणि स्टार्टअप्स,"फंडिंग, मेंटरशिप, कार्यक्षेत्र","निधी, मार्गदर्शन, कार्यक्षेत्र",आधिकारिक ऊष्मायन पोर्टल्स के माध्यम से आवेदन करें,अधिकृत उष्मायन पोर्टलद्वारे अर्ज करा,ब्याज दर 8-12%,वार्षिक परतावा 5-7%,1-3 साल,1-3 वर्षे
Financial Inclusion via Mobile Banking,Government,All,All,All,All,India-wide,Promote Mobile Banking Access,"Mobile phone users, residents of India","Mobile transactions, savings, payments",Register through banks or mobile service providers,https://mobilebank.in,Annual return 6-9%,Ongoing,,,मोबाइल बैंकिंग के माध्यम से वित्तीय समावेश,मोबाइल बँकिंगद्वारे आर्थिक समावेश,मोबाइल बैंकिंग पहुंच को बढ़ावा देना,मोबाइल बँकिंग प्रवेशास प्रोत्साहन द्या,"मोबाइल फोन उपयोगकर्ता, भारत के निवासी","मोबाइल फोन वापरकर्ते, भारतातील रहिवासी","मोबाइल लेनदेन, बचत, भुगतान","मोबाइल व्यवहार, बचत, देयके",बैंकों या मोबाइल सेवा प्रदाताओं के माध्यम से पंजीकरण करें,बँका किंवा मोबाइल सेवा प्रदात्यांद्वारे नोंदणी करा,ब्याज दर 6-8%,व्याज दर 6-8%,चल रहे,चालू आहे
Rural Education Support Program,Government,6-18,All,All,Below Poverty Line,Gujarat,Improve Rural Education and Skill Development,Students in rural areas,"Free education, skill training",Apply at local education offices or online,https://ruraleducation.in,Interest rate 8-12%,Ongoing,,,ग्रामीण शिक्षा सहायता कार्यक्रम,ग्रामीण शिक्षण समर्थन कार्यक्रम,ग्रामीण शिक्षा और कौशल विकास में सुधार,ग्रामीण शिक्षण आणि कौशल्य विकास सुधारित करा,ग्रामीण क्षेत्रों में छात्र,ग्रामीण भागातील विद्यार्थी,"नि: शुल्क शिक्षा, कौशल प्रशिक्षण","विनामूल्य शिक्षण, कौशल्य प्रशिक्षण",स्थानीय शिक्षा कार्यालयों या ऑनलाइन पर आवेदन करें,स्थानिक शिक्षण कार्यालयांमध्ये किंवा ऑनलाइन अर्ज करा,ब्याज दर 9-13%,वार्षिक परतावा 4-6%,चल रहे,चालू आहे
Women in Microfinance Initiative,Private,19-60,Female,OBC,Below Poverty Line,South India,Empowering Women in Microfinance,"Women in microfinance sectors, rural areas","Microfinance loans, capacity building",Apply via microfinance institutions or SHG federations,https://wmicrofinance.in,Interest rate 10-16% annually,1-3 years,Based on loan terms,Monthly,माइक्रोफाइनेंस पहल में महिलाएं,मायक्रोफायनान्स इनिशिएटिव्ह मधील महिला,माइक्रोफाइनेंस में महिलाओं को सशक्त बनाना,मायक्रोफायनान्समध्ये महिलांना सक्षम बनविणे,"माइक्रोफाइनेंस क्षेत्रों, ग्रामीण क्षेत्रों में महिलाएं","मायक्रोफायनान्स सेक्टर, ग्रामीण भागातील महिला","माइक्रोफाइनेंस ऋण, क्षमता निर्माण","मायक्रोफायनान्स कर्ज, क्षमता इमारत",माइक्रोफाइनेंस संस्थानों या एसएचजी फेडरेशन के माध्यम से आवेदन करें,मायक्रोफायनान्स संस्था किंवा एसएचजी फेडरेशनद्वारे अर्ज करा,ब्याज दर 10-16% सालाना,व्याज दर दरवर्षी 10-16%,1-3 साल,1-3 वर्षे
Smart Village Infrastructure Scheme,Government,All,All,All,All,Assam,Rural Infrastructure Development,Local government and community groups,"Roads, sanitation, electrification",Apply through rural development programs,https://smartvillage.in,Interest rate 8-12%,Ongoing,,,स्मार्ट ग्राम इंफ्रास्ट्रक्चर स्कीम,स्मार्ट व्हिलेज इन्फ्रास्ट्रक्चर योजना,ग्रामीण बुनियादी ढांचा विकास,ग्रामीण पायाभूत सुविधा विकास,स्थानीय सरकार और सामुदायिक समूह,स्थानिक सरकार आणि समुदाय गट,"सड़कें, स्वच्छता, विद्युतीकरण","रस्ते, स्वच्छता, विद्युतीकरण",ग्रामीण विकास कार्यक्रमों के माध्यम से आवेदन करें,ग्रामीण विकास कार्यक्रमांद्वारे अर्ज करा,ब्याज दर 9-13%,वार्षिक परतावा 5-7%,चल रहे,चालू आहे
Start Green Business Initiative,Private,19-35,All,All,Upper,Chhattisgarh,Promote Eco-friendly Startups,Startups with green technology,"Funding, incubation, market access",Apply via eco-entrepreneur portals,https://greenbiz.in,Interest rate 9-13%,1-2 years,,,ग्रीन बिजनेस इनिशिएटिव स्टार्ट करें,ग्रीन बिझिनेस इनिशिएटिव्ह प्रारंभ करा,पर्यावरण के अनुकूल स्टार्टअप को बढ़ावा देना,इको-फ्रेंडली स्टार्टअप्सचा प्रचार करा,ग्रीन टेक्नोलॉजी के साथ स्टार्टअप्स,ग्रीन तंत्रज्ञानासह स्टार्टअप्स,"धन, ऊष्मायन, बाजार पहुंच","निधी, उष्मायन, बाजार प्रवेश",इको-उद्यमी पोर्टल्स के माध्यम से आवेदन करें,इको-एन्ट्रीप्रेनर पोर्टलद्वारे अर्ज करा,वार्षिक रिटर्न 4-6%,व्याज दर 9-13%,1-2 साल,1-2 वर्षे
Rural Digital Literacy Program,Government,6-18,All,All,Below Poverty Line,Western India,Digital Literacy for Rural Children,Students in rural schools,"Digital skills training, access to devices",Apply through local education departments,https://ruraldigital.in,Interest rate 8-12%,Ongoing,,,ग्रामीण डिजिटल साक्षरता कार्यक्रम,ग्रामीण डिजिटल साक्षरता कार्यक्रम,ग्रामीण बच्चों के लिए डिजिटल साक्षरता,ग्रामीण मुलांसाठी डिजिटल साक्षरता,ग्रामीण स्कूलों में छात्र,ग्रामीण शाळांमधील विद्यार्थी,"डिजिटल कौशल प्रशिक्षण, उपकरणों तक पहुंच","डिजिटल कौशल्य प्रशिक्षण, डिव्हाइसमध्ये प्रवेश",स्थानीय शिक्षा विभागों के माध्यम से आवेदन करें,स्थानिक शिक्षण विभागांद्वारे अर्ज करा,वार्षिक रिटर्न 5-7%,व्याज दर 8-12%,चल रहे,चालू आहे
Urban Women Entrepreneurship Scheme,Government,19-60,Female,All,Middle,Haryana,Support Women-led Businesses,Women entrepreneurs in urban areas,"Funding, training, market linkage",Apply through local government or online,https://urbanwomens.in,Annual return 6-9%,1-3 years,,,शहरी महिला उद्यमिता योजना,शहरी महिला उद्योजकता योजना,महिलाओं के नेतृत्व वाले व्यवसायों का समर्थन करें,महिलांच्या नेतृत्वाखालील व्यवसायांना समर्थन द्या,शहरी क्षेत्रों में महिला उद्यमी,शहरी भागातील महिला उद्योजक,"धन, प्रशिक्षण, बाजार संबंध","निधी, प्रशिक्षण, बाजार दुवा",स्थानीय सरकार या ऑनलाइन के माध्यम से आवेदन करें,स्थानिक सरकार किंवा ऑनलाईनद्वारे अर्ज करा,वार्षिक रिटर्न 4-6%,व्याज दर 10-15%,1-3 साल,1-3 वर्षे
Rural Small Business Support,Private,19-60,All,ST,Below Poverty Line,Kerala,Support Rural Small Businesses,"Small entrepreneurs, rural residents","Microloans, capacity building",Apply via local microfinance or government offices,https://ruralsmallbiz.in,Interest rate 12-20% annually,1-3 years,Based on loan agreement,Monthly,ग्रामीण लघु व्यवसाय सहायता,ग्रामीण लघु व्यवसाय समर्थन,ग्रामीण छोटे व्यवसायों का समर्थन करें,ग्रामीण छोट्या व्यवसायांना समर्थन द्या,"छोटे उद्यमी, ग्रामीण निवासी","लहान उद्योजक, ग्रामीण रहिवासी","माइक्रोलोन, क्षमता निर्माण","मायक्रोलोन्स, क्षमता इमारत",स्थानीय माइक्रोफाइनेंस या सरकारी कार्यालयों के माध्यम से आवेदन करें,स्थानिक मायक्रोफायनान्स किंवा सरकारी कार्यालयांद्वारे अर्ज करा,ब्याज दर 12-20% सालाना,वर्षाकाठी व्याज दर 12-20%,1-3 साल,1-3 वर्षे
Urban Digital Banking Access,Private,25-60,All,All,Middle,Punjab,Easy Digital Banking Access,"Urban residents, smartphone users","Digital banking, easy transactions",Register online or at bank branches,https://urbandigital.in,Interest rate 5-8%,Ongoing,,,शहरी डिजिटल बैंकिंग अभिगम,शहरी डिजिटल बँकिंग प्रवेश,आसान डिजिटल बैंकिंग एक्सेस,सुलभ डिजिटल बँकिंग प्रवेश,"शहरी निवासी, स्मार्टफोन उपयोगकर्ता","शहरी रहिवासी, स्मार्टफोन वापरकर्ते","डिजिटल बैंकिंग, आसान लेनदेन","डिजिटल बँकिंग, सुलभ व्यवहार",ऑनलाइन या बैंक शाखाओं में पंजीकरण करें,ऑनलाईन किंवा बँक शाखांमध्ये नोंदणी करा,ब्याज दर 7-10%,वार्षिक परतावा 6-9%,चल रहे,चालू आहे
Women's Skill Development Program,Government,19-35,Female,All,Middle,India-wide,Skill Development for Women,"Women, students, unemployed women","Training, certifications, employment linkage",Apply through training centers or online,https://womenskill.in,Interest rate 9-13%,Varies,,,महिला कौशल विकास कार्यक्रम,महिला कौशल्य विकास कार्यक्रम,महिलाओं के लिए कौशल विकास,महिलांसाठी कौशल्य विकास,"महिलाएं, छात्र, बेरोजगार महिलाएं","महिला, विद्यार्थी, बेरोजगार महिला","प्रशिक्षण, प्रमाणपत्र, रोजगार संबंध","प्रशिक्षण, प्रमाणपत्रे, रोजगार संबंध",प्रशिक्षण केंद्रों या ऑनलाइन के माध्यम से आवेदन करें,प्रशिक्षण केंद्रांद्वारे किंवा ऑनलाइनद्वारे अर्ज करा,वार्षिक रिटर्न 6-9%,व्याज दर 7-10%,भिन्न,बदलते
Rural Youth Entrepreneurship Support,Government,19-35,All,All,Below Poverty Line,Jammu & Kashmir,Promote Rural Youth Entrepreneurship,"Rural youth, unemployed","Funding, mentorship, market access",Apply via local government or online,https://ruralentrepreneurship.in,Annual return 5-7%,1-3 years,,,ग्रामीण युवा उद्यमिता समर्थन,ग्रामीण युवा उद्योजकता समर्थन,ग्रामीण युवा उद्यमिता को बढ़ावा देना,ग्रामीण युवा उद्योजकता वाढवा,"ग्रामीण युवा, बेरोजगार","ग्रामीण तरूण, बेरोजगार","फंडिंग, मेंटरशिप, मार्केट एक्सेस","निधी, मार्गदर्शन, बाजारपेठ प्रवेश",स्थानीय सरकार या ऑनलाइन के माध्यम से आवेदन करें,स्थानिक सरकार किंवा ऑनलाइन मार्गे अर्ज करा,ब्याज दर 6-8%,वार्षिक परतावा 5-7%,1-3 साल,1-3 वर्षे
Naya Savera Microfinance Scheme,Private,19-60,All,All,Below Poverty Line,Punjab,Microfinance for Rural Entrepreneurs,"Rural residents, small entrepreneurs","Microloans, financial training",Apply via microfinance institutions,https://nayasavera.in,Interest rate 12-20% annually,1-3 years,Based on loan agreement,Monthly,नाया सवेरा माइक्रोफाइनेंस योजना,नाया सवेरा मायक्रोफायनान्स योजना,ग्रामीण उद्यमियों के लिए माइक्रोफाइनेंस,ग्रामीण उद्योजकांसाठी मायक्रोफायनान्स,"ग्रामीण निवासी, छोटे उद्यमी","ग्रामीण रहिवासी, लहान उद्योजक","माइक्रोलोन, वित्तीय प्रशिक्षण","मायक्रोलोन्स, आर्थिक प्रशिक्षण",माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन करें,मायक्रोफायनान्स संस्थांद्वारे अर्ज करा,ब्याज दर 12-20% सालाना,वर्षाकाठी व्याज दर 12-20%,1-3 साल,1-3 वर्षे
Urban Skills for Employment,Government,19-35,All,All,Middle,Telangana,Employment and Skill Development,"Unemployed youth, students","Skill training, job placement",Apply at training centers or online,https://urbanjobs.in,Interest rate 7-10%,Varies,,,रोजगार के लिए शहरी कौशल,रोजगारासाठी शहरी कौशल्ये,रोजगार और कौशल विकास,रोजगार आणि कौशल्य विकास,"बेरोजगार युवा, छात्र","बेरोजगार तरुण, विद्यार्थी","कौशल प्रशिक्षण, नौकरी नियुक्ति","कौशल्य प्रशिक्षण, जॉब प्लेसमेंट",प्रशिक्षण केंद्रों या ऑनलाइन पर आवेदन करें,प्रशिक्षण केंद्रांवर किंवा ऑनलाइन अर्ज करा,ब्याज दर 5-8%,व्याज दर 9-13%,भिन्न,बदलते
Women in Cooperative Societies,Private,19-60,Female,All,Middle,India-wide,Women’s Cooperative Development,Women in cooperatives or SHGs,"Microfinance, capacity building, market access",Apply through cooperative federations or banks,https://wcoop.in,Interest rate 10-16% annually,1-3 years,Based on loan terms,Monthly,सहकारी समितियों में महिलाएं,सहकारी समाजातील महिला,महिला सहकारी विकास,महिलांचा सहकारी विकास,सहकारी या SHG में महिलाएं,सहकारी किंवा एसएचजी मधील महिला,"माइक्रोफाइनेंस, क्षमता निर्माण, बाजार पहुंच","मायक्रोफायनान्स, क्षमता इमारत, बाजारपेठ प्रवेश",सहकारी संघों या बैंकों के माध्यम से आवेदन करें,सहकारी फेडरेशन किंवा बँकांद्वारे अर्ज करा,ब्याज दर 10-16% सालाना,व्याज दर दरवर्षी 10-16%,1-3 साल,1-3 वर्षे
Green Energy Funding Support,Private,19-60,All,All,Upper,Odisha,Support for Renewable Energy Projects,"Startups, entrepreneurs in green energy","Funding, incubation, market access",Apply via eco-entrepreneur portals,https://greenenergy.in,Interest rate 10-15%,1-2 years,,,हरित ऊर्जा वित्त पोषण समर्थन,ग्रीन एनर्जी फंडिंग सपोर्ट,नवीकरणीय ऊर्जा परियोजनाओं के लिए समर्थन,नूतनीकरणयोग्य उर्जा प्रकल्पांसाठी समर्थन,"स्टार्टअप, हरित ऊर्जा में उद्यमी","स्टार्टअप्स, ग्रीन एनर्जी मधील उद्योजक","धन, ऊष्मायन, बाजार पहुंच","निधी, उष्मायन, बाजार प्रवेश",इको-उद्यमी पोर्टल्स के माध्यम से आवेदन करें,इको-एन्ट्रीप्रेनर पोर्टलद्वारे अर्ज करा,वार्षिक रिटर्न 4-6%,व्याज दर 7-10%,1-2 साल,1-2 वर्षे
Rural Women Skill Enhancement,Government,19-60,Female,OBC,Below Poverty Line,Gujarat,Skill Development for Rural Women,"Rural women, SHGs","Training, capacity building, microfinancing",Apply through local government offices or online,https://ruralwomentrain.in,Interest rate 10-15%,Varies,,,ग्रामीण महिला कौशल वृद्धि,ग्रामीण महिला कौशल्य वाढ,ग्रामीण महिलाओं के लिए कौशल विकास,ग्रामीण महिलांसाठी कौशल्य विकास,"ग्रामीण महिलाएं, एसएचजी","ग्रामीण महिला, एसएचजी","प्रशिक्षण, क्षमता निर्माण, माइक्रोफाइनेंसिंग","प्रशिक्षण, क्षमता इमारत, मायक्रोफायनान्सिंग",स्थानीय सरकारी कार्यालयों या ऑनलाइन के माध्यम से आवेदन करें,स्थानिक सरकारी कार्यालये किंवा ऑनलाइनद्वारे अर्ज करा,ब्याज दर 5-8%,व्याज दर 6-8%,भिन्न,बदलते
Urban Youth Digital Literacy,Government,6-18,All,All,Middle,Madhya Pradesh,Digital Literacy for Urban Youth,Students in urban schools,"Digital skills training, access to devices",Apply through local education authorities,https://urbanruraldigital.in,Annual return 5-7%,Ongoing,,,शहरी युवा डिजिटल साक्षरता,शहरी युवा डिजिटल साक्षरता,शहरी युवाओं के लिए डिजिटल साक्षरता,शहरी तरुणांसाठी डिजिटल साक्षरता,शहरी स्कूलों में छात्र,शहरी शाळांमधील विद्यार्थी,"डिजिटल कौशल प्रशिक्षण, उपकरणों तक पहुंच","डिजिटल कौशल्य प्रशिक्षण, डिव्हाइसमध्ये प्रवेश",स्थानीय शिक्षा प्राधिकरणों के माध्यम से आवेदन करें,स्थानिक शिक्षण अधिका by ्यांमार्फत अर्ज करा,ब्याज दर 9-13%,व्याज दर 6-8%,चल रहे,चालू आहे
Rural Financial Literacy Program,Government,All,All,All,Below Poverty Line,Punjab,Financial Literacy for Rural Residents,"Rural residents, farmers, small entrepreneurs","Workshops, training, online resources",Apply at local offices or online,https://ruralfinlit.in,Interest rate 8-12%,Ongoing,,,ग्रामीण वित्तीय साक्षरता कार्यक्रम,ग्रामीण आर्थिक साक्षरता कार्यक्रम,ग्रामीण निवासियों के लिए वित्तीय साक्षरता,ग्रामीण रहिवाशांसाठी आर्थिक साक्षरता,"ग्रामीण निवासी, किसान, छोटे उद्यमी","ग्रामीण रहिवासी, शेतकरी, लहान उद्योजक","कार्यशालाएं, प्रशिक्षण, ऑनलाइन संसाधन","कार्यशाळा, प्रशिक्षण, ऑनलाइन संसाधने",स्थानीय कार्यालयों या ऑनलाइन पर आवेदन करें,स्थानिक कार्यालयांमध्ये किंवा ऑनलाइन अर्ज करा,वार्षिक रिटर्न 5-7%,व्याज दर 10-15%,चल रहे,चालू आहे
Urban Infrastructure Development Fund,Government,All,All,All,All,Maharashtra,Urban Development Infrastructure,"Urban local bodies, government agencies","Roads, sanitation, electrification, parks",Apply through urban development departments,https://urbaninfra.in,Interest rate 6-8%,Ongoing,,,शहरी बुनियादी ढांचा विकास निधि,शहरी पायाभूत सुविधा विकास निधी,शहरी विकास बुनियादी ढांचा,शहरी विकास पायाभूत सुविधा,"शहरी स्थानीय निकाय, सरकारी एजेंसियां","शहरी स्थानिक संस्था, सरकारी संस्था","सड़कें, स्वच्छता, विद्युतीकरण, पार्क","रस्ते, स्वच्छता, विद्युतीकरण, उद्याने",शहरी विकास विभागों के माध्यम से आवेदन करें,शहरी विकास विभागांद्वारे अर्ज करा,ब्याज दर 9-13%,व्याज दर 6-8%,चल रहे,चालू आहे
Rural Electrification Initiative,Government,All,All,All,All,South India,Electrification of Rural Areas,Rural households and communities,"Electricity access, infrastructure development",Apply via local government offices,https://ruralelec.in,Interest rate 8-12%,Ongoing,,,ग्रामीण विद्युतीकरण पहल,ग्रामीण विद्युतीकरण उपक्रम,ग्रामीण क्षेत्रों का विद्युतीकरण,ग्रामीण भागातील विद्युतीकरण,ग्रामीण परिवार और समुदाय,ग्रामीण घरे आणि समुदाय,"बिजली पहुंच, बुनियादी ढांचा विकास","वीज प्रवेश, पायाभूत सुविधा विकास",स्थानीय सरकारी कार्यालयों के माध्यम से आवेदन करें,स्थानिक सरकारी कार्यालयांद्वारे अर्ज करा,ब्याज दर 7-10%,वार्षिक परतावा 6-9%,चल रहे,चालू आहे
Clean Energy Microgrid Project,Private,All,All,All,Upper,Delhi,Renewable Energy Access in Communities,"Communities, startups, social enterprises","Microgrids, clean energy generation",Apply via government or private portals,https://microgrid.in,Annual return 4-6%,2-5 years,,,स्वच्छ ऊर्जा माइक्रोग्रिड परियोजना,स्वच्छ उर्जा मायक्रोग्रिड प्रकल्प,समुदायों में अक्षय ऊर्जा पहुंच,समुदायांमध्ये नूतनीकरणयोग्य उर्जा प्रवेश,"समुदाय, स्टार्टअप, सामाजिक उद्यम","समुदाय, स्टार्टअप्स, सामाजिक उपक्रम","माइक्रोग्रिड्स, स्वच्छ ऊर्जा उत्पादन","मायक्रोग्रिड्स, स्वच्छ उर्जा निर्मिती",सरकार या निजी पोर्टल्स के माध्यम से आवेदन करें,सरकार किंवा खाजगी पोर्टलद्वारे अर्ज करा,ब्याज दर 10-15%,व्याज दर 9-13%,2-5 साल,2-5 वर्षे
Smart Farming Support Program,Government,19-60,All,All,All,Agricultural regions,Smart Farming Technologies and Practices,"Farmers, agricultural entrepreneurs","Training, technology access, subsidies",Apply through agricultural offices or online,https://smartfarming.in,Interest rate 8-12%,Ongoing,,,स्मार्ट फार्मिंग सपोर्ट प्रोग्राम,स्मार्ट फार्मिंग सपोर्ट प्रोग्राम,स्मार्ट फार्मिंग टेक्नोलॉजीज एंड प्रैक्टिस,स्मार्ट शेती तंत्रज्ञान आणि पद्धती,"किसान, कृषि उद्यमियों","शेतकरी, कृषी उद्योजक","प्रशिक्षण, प्रौद्योगिकी अभिगम, सब्सिडी","प्रशिक्षण, तंत्रज्ञान प्रवेश, अनुदान",कृषि कार्यालयों या ऑनलाइन के माध्यम से आवेदन करें,कृषी कार्यालये किंवा ऑनलाइनद्वारे अर्ज करा,ब्याज दर 8-12%,व्याज दर 10-15%,चल रहे,चालू आहे
Inclusive Banking Initiative,Government,All,All,All,All,India-wide,Universal Banking Access,All residents of India,"Banking facilities, microfinance, financial literacy",Visit local banks or apply online,https://inclusivebanking.in,Annual return 4-6%,Ongoing,,,समावेशी बैंकिंग पहल,सर्वसमावेशक बँकिंग उपक्रम,सार्वभौमिक बैंकिंग अभिगम,सार्वत्रिक बँकिंग प्रवेश,भारत के सभी निवासी,भारतातील सर्व रहिवासी,"बैंकिंग सुविधाएं, माइक्रोफाइनेंस, वित्तीय साक्षरता","बँकिंग सुविधा, मायक्रोफायनान्स, आर्थिक साक्षरता",स्थानीय बैंकों पर जाएं या ऑनलाइन आवेदन करें,स्थानिक बँकांना भेट द्या किंवा ऑनलाईन अर्ज करा,वार्षिक रिटर्न 6-9%,वार्षिक परतावा 4-6%,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,Jammu & Kashmir,Financial Inclusion and Banking Access,Open to all citizens with valid identity proof,"Basic banking account with overdraft facility, RuPay debit card",Apply at local bank branches or through designated banking correspondents,https://pmjdy.gov.in,Annual return 5-7%,,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,वित्तीय समावेशन और बैंकिंग पहुंच,आर्थिक समावेश आणि बँकिंग प्रवेश,मान्य पहचान प्रमाण वाले सभी नागरिकों के लिए खुला,वैध ओळख पुरावा असलेल्या सर्व नागरिकांसाठी खुला,"ओवरड्राफ्ट सुविधा के साथ बुनियादी बैंकिंग खाता, रूपे डेबिट कार्ड","ओव्हरड्राफ्ट सुविधा, रुपय डेबिट कार्डसह मूलभूत बँकिंग खाते",स्थानीय बैंक शाखाओं में या नामित बैंकिंग संवाददाताओं के माध्यम से आवेदन करें,स्थानिक बँक शाखांमध्ये किंवा नियुक्त बँकिंग वार्ताहरांद्वारे अर्ज करा,ब्याज दर 10-15%,व्याज दर 9-13%,,
Stand Up India Scheme,Government,19-60,All,SC,Below Poverty Line,Goa,Facilitate loans for SC/ST entrepreneurs,"SC or ST entrepreneurs, aged 18-65","Collateral-free loans from Rs.10 lakh to Rs.1 crore, mentorship support",Application via bank branches with necessary documents,https://sidbi.in/standupindia,Interest rate linked to SBI Base Rate + 2%,Up to 7 years,Varies with loan amount and interest rate,Monthly or Quarterly,स्टैंड अप इंडिया स्कीम,उभे रहा भारत योजना,SC/ST उद्यमियों के लिए ऋण की सुविधा,एससी/एसटी उद्योजकांसाठी कर्ज सुलभ करा,"SC या ST उद्यमी, 18-65 वर्ष की आयु","एससी किंवा एसटी उद्योजक, वय 18-65","संपार्श्विक-मुक्त ऋण 10 लाख रुपये से रु। करोड़, मेंटरशिप सपोर्ट","१० लाख ते १ कोटी रुपयांपर्यंतचे संपार्श्विक-मुक्त कर्ज, मेंटर्सशिप सपोर्ट",आवश्यक दस्तावेजों के साथ बैंक शाखाओं के माध्यम से आवेदन,आवश्यक कागदपत्रांसह बँक शाखांद्वारे अर्ज,SBI आधार दर + 2% से जुड़ी ब्याज दर,एसबीआय बेस रेट + 2% शी जोडलेला व्याज दर,7 साल तक,7 वर्षांपर्यंत
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,Chhattisgarh,Microcredit for small businesses,"Small business owners, entrepreneurs, artisans","Microloans up to Rs.10 lakh, easy documentation",Application at bank branches or through online portals,https://mudra.org.in,Interest rate 8-12% p.a.,Up to 5 years,Interest + principal as per schedule,Monthly,Mudra Yojana,मनी योजना,छोटे व्यवसायों के लिए microcredit,छोट्या व्यवसायांसाठी मायक्रोक्रेडिट,"छोटे व्यवसाय के मालिक, उद्यमी, कारीगर","लघु व्यवसाय मालक, उद्योजक, कारागीर","10 लाख रुपये तक माइक्रोलोन, आसान प्रलेखन","10 लाख, सुलभ दस्तऐवजीकरण पर्यंत मायक्रोलोन्स",बैंक शाखाओं में या ऑनलाइन पोर्टल्स के माध्यम से आवेदन,बँक शाखांमध्ये किंवा ऑनलाइन पोर्टलद्वारे अर्ज,ब्याज दर 8-12% पी.ए.,व्याज दर 8-12% पी.ए.,5 साल तक,5 वर्षांपर्यंत
