scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Microinsurance for Agriculture,Private,19-60,All,All,Below Poverty Line,Rural,Insurance coverage for agricultural risks,"Farmers with insurance policies, verified by agents","Coverage against crop failure, natural calamities",Application at local insurance offices or banks,https://microagriinsurance.in/,N/A,1-3 years,Premiums,Monthly
Urban Poverty Alleviation Scheme,Government,All,All,All,Below Poverty Line,Urban,Reduce urban poverty through skill development and self-employment,"Urban poor, unemployed","Skill training, small loans, employment schemes",Application at municipal offices or online,https://urbanpoverty.gov.in/,N/A,Ongoing,N/A,N/A
Rural Sanitation and Hygiene Program,Government,All,All,All,All,Rural,Promote sanitation and hygiene awareness,All rural households,"Sanitation facilities, hygiene education",Local government initiatives and campaigns,https://ruralhygiene.in/,N/A,Ongoing,N/A,N/A
National Skill Qualification Framework,Government,19-35,All,All,All,All India,Standardize skill certifications,All youth and workers,"Recognized certifications, employment readiness",Through designated training centers and online portals,https://nskqf.gov.in/,N/A,Ongoing,N/A,N/A
Financial Literacy Campaign for Senior Citizens,Government,60+,All,All,All,All India,Promote financial literacy among senior citizens,Senior citizens with bank accounts,"Financial literacy, fraud awareness, savings management",At banks and financial institutions,https://finlit.gov.in/,N/A,Ongoing,N/A,N/A
StartUp India Seed Fund,Government,19-45,All,All,All,All India,Seed funding for startups,Startups registered with DPIIT,"Seed capital, mentorship, networking opportunities",Online application portal,https://startfund.in/,N/A,Ongoing,N/A,N/A
Incentives for Solar Power Adoption,Private,All,All,All,All,All India,Promote renewable energy use,All consumers and industries installing solar power systems,"Tax incentives, subsidies, reduced energy costs",Application through designated authorities and agencies,https://solar.gov.in/,N/A,Ongoing,N/A,N/A
Urban Microfinancing Scheme,Private,19-60,All,All,Middle,Urban,Microfinancing for urban small businesses,Registered urban micro-entrepreneurs,"Loans for business expansion, working capital",Application at local microfinance banks,https://urbanmicrofin.in/,Interest rate 10% annually,1-3 years,Interest + principal,Quarterly
Rural Digital Literacy Program,Government,19-35,All,All,All,Rural,Promote digital literacy in rural areas,"Rural residents, youth, students","Digital skills training, access to digital devices",Through local government offices and schools,https://ruraldigital.gov.in/,N/A,Ongoing,N/A,N/A
National Urban Livelihood Mission,Government,All,All,All,Below Poverty Line,Urban,Enhance livelihood opportunities in urban areas,"Urban poor, informal workers","Skill training, wage employment, self-employment support",Application at local urban bodies or online,https://nulm.gov.in/,N/A,Ongoing,N/A,N/A
Food Security through Public Distribution System,Government,All,All,All,Below Poverty Line,All India,Ensure food security for vulnerable populations,All below poverty line households,"Subsidized food grains, ration cards",Application at local ration shops,https://pds.gov.in/,N/A,Ongoing,N/A,N/A
E-wallet Cash Transfer Scheme,Government,19-60,All,All,All,All India,Direct cash transfers to beneficiaries,Bank account holders,Immediate transfer of welfare benefits,Registration via bank or government portal,https://ewallet.gov.in/,N/A,Ongoing,N/A,N/A
Solar Energy Livelihood Scheme,Private,19-60,All,All,All,All India,Promote solar energy adoption for livelihoods,Individuals and small businesses,"Subsidies, technical support",Application via government or private agencies,https://solarenergy.gov.in/,N/A,Ongoing,N/A,N/A
Smart Cities Mission,Government,All,All,All,All,Selected cities,Urban infrastructure development and smart city projects,Cities selected through a competitive process,"Urban infrastructure, technology-enabled services",City proposals and approval processes,https://smartcities.gov.in/,N/A,Ongoing,N/A,N/A
Startup India Innovation Hub,Government,19-45,All,All,All,All India,Foster innovation and startup ecosystem,Startups registered with DPIIT,"Funding, mentorship, networking events",Online registration on portal,https://siih.gov.in/,N/A,Ongoing,N/A,N/A
Rural Electrification Initiative,Government,All,All,All,All,Rural,Provide electricity access to rural households,Rural households without electricity,"Electricity connections, infrastructure development",Through local government agencies,https://re.gov.in/,N/A,Ongoing,N/A,N/A
Rural Women Entrepreneurship Program,Government,19-60,Female,All,Below Poverty Line,Rural,Empower rural women entrepreneurs,"Women in rural areas, micro-entrepreneurs","Financial support, training, market linkages",Application at local government offices and banks,https://ruralwomen.gov.in/,N/A,1-3 years,N/A,N/A
Smart Village Development Program,Government,All,All,All,All,All India,Holistic development of villages with technology and infrastructure,All villages meeting development criteria,"Infrastructure, sanitation, digital connectivity, education facilities",Through village committees and district offices,https://smartvillage.gov.in/,N/A,Ongoing,N/A,N/A
Financial Inclusion through Banking Correspondents,Government,All,All,All,All,All India,Expand banking reach in remote areas,Banking correspondents and outreach agents,"Increased banking access, financial services",Training programs and deployment by banks,https://bankingcorrespondents.gov.in/,N/A,Ongoing,N/A,N/A
Urban Skill Development Program,Government,19-35,All,All,Middle,Urban,Enhance employability and skills in urban youth,"Urban youth, unemployed or underemployed","Skill training, certification, job placement assistance",Through urban employment centers and online portals,https://urban skills.gov.in/,N/A,6 months to 1 year,N/A,N/A
Digital Literacy for Senior Citizens,Government,60+,All,All,All,All India,Promote digital literacy among senior citizens,Senior citizens with no or limited digital skills,"Training, access to digital devices","At banks, government offices, or digital literacy centers",https://digitalsenior.gov.in/,N/A,Ongoing,N/A,N/A
Rural Roads and Infrastructure Development,Government,All,All,All,All,Rural,Improve rural connectivity and infrastructure,Rural villages meeting development criteria,"Roads, bridges, transportation infrastructure",Through district development offices,https://ruralroads.gov.in/,N/A,Ongoing,N/A,N/A
Urban Waste Management Scheme,Government,All,All,All,All,Urban,Improve waste management and sanitation in cities,"Urban local bodies, municipalities","Waste collection, processing facilities, awareness campaigns",Proposal submission and approval by urban authorities,https://urbanwaste.gov.in/,N/A,Ongoing,N/A,N/A
Clean Drinking Water Initiative,Government,All,All,All,All,All India,Ensure access to safe drinking water,All households in targeted areas,"Water supply infrastructure, purification units",Local government projects and schemes,https://drinkwater.gov.in/,N/A,Ongoing,N/A,N/A
Environmental Conservation Fund,Private,All,All,All,All,All India,Support environmental protection projects,"Environmental organizations, NGOs, community groups","Funding for conservation projects, awareness campaigns",Application via scheme portal or directly to fund agencies,https://envirofund.gov.in/,N/A,Ongoing,N/A,N/A
Smart Grid Development Scheme,Private,All,All,All,All,All India,Upgrade electricity grid infrastructure,"Electric utilities, government agencies","Reliable power supply, reduced outages",Application through designated authorities,https://smartgrid.gov.in/,N/A,Ongoing,N/A,N/A
Rural Income Support Program,Government,All,All,All,Below Poverty Line,Rural,Provide income support to rural poor,Rural households below poverty line,"Direct cash transfers, livelihood support",Application through local government offices,https://ruralincome.gov.in/,N/A,Ongoing,N/A,Monthly
Urban Affordable Housing Scheme,Private,All,All,All,Below Poverty Line,Urban,Affordable housing for urban poor,Low-income urban families,"Housing loans, subsidies, construction support",Application through urban development authorities and banks,https://urbanhousing.gov.in/,Interest rate 8% annually,Up to 20 years,Principal + interest,Monthly
Women Skill Enhancement Program,Government,19-45,Female,All,Middle,All India,Enhance skills of women for employment and entrepreneurship,"Women aged 19-45, skill seekers","Training, certification, job placement support",Local skill centers or online portals,https://womenskills.gov.in/,N/A,6 months to 1 year,N/A,N/A
Renewable Energy Support Fund,Private,All,All,All,All,All India,Promote renewable energy projects,"Renewable energy projects, entrepreneurs","Funding, technical support, subsidies",Application via scheme portal or through partner agencies,https://renewableenergy.gov.in/,N/A,Ongoing,N/A,N/A
Smart Village Electrification,Government,All,All,All,All,All India,Electrify villages with sustainable sources,Villages without electricity or unreliable supply,"Electricity, solar microgrids, infrastructure",Through district electrification offices,https://smartvillage.gov.in/electrification/,N/A,Ongoing,N/A,N/A
Affordable Telemedicine Initiative,Private,All,All,All,All,All India,Improve healthcare access through telemedicine,"Remote and rural areas, healthcare providers","Remote diagnosis, specialist consultations",Partnerships with telecom and health agencies,https://telemed.gov.in/,N/A,Ongoing,N/A,N/A
Waste to Energy Program,Private,All,All,All,All,All India,Convert waste into energy sources,"Waste management projects, entrepreneurs","Renewable energy generation, environmental benefits",Application via scheme portal or partner agencies,https://wastetoenergy.in/,N/A,Ongoing,N/A,N/A
Urban Transport Improvement Scheme,Government,All,All,All,All,Urban,Upgrade urban transportation infrastructure,Urban transport authorities,"Efficient transit systems, reduced congestion",Proposal submissions to urban authorities,https://urbantransport.gov.in/,N/A,Ongoing,N/A,N/A
Community Health and Nutrition Program,Government,All,All,All,All,All India,Improve health and nutrition in communities,"Community health centers, local bodies","Nutrition schemes, health camps, awareness campaigns",Partnership with local health departments,https://chnp.gov.in/,N/A,Ongoing,N/A,N/A
E-governance for Local Bodies,Government,All,All,All,All,All India,Enhance governance through digital platforms,Local government bodies,"Transparency, efficiency, better service delivery",Submission of proposals and digital implementation,https://egov.gov.in/,N/A,Ongoing,N/A,N/A
Financial Support for Startups in Tier 2 Cities,Government,19-45,All,All,All,Tier 2 Cities,Encourage startup growth outside metros,Startups registered in Tier 2 cities,"Funding, mentorship, infrastructure support",Online application portal,https://startcity.gov.in/,N/A,Ongoing,N/A,N/A
Solar Pump subsidy for Farmers,Private,19-60,All,All,All,Rural,Promote solar-powered irrigation,"Farmers with land, verified by agriculture department","Subsidies on solar pumps, reduced operational costs",Application through local government offices,https://solarpumps.gov.in/,N/A,1-2 years,Subsidies and costs paid by farmers,N/A
Digital Banking for Unbanked Areas,Private,19-60,All,All,All,Rural and Remote Areas,Expand digital banking access,Banking infrastructure and outreach agents,"Bank account access, digital transactions",Through local banking agents and branches,https://digitalbanking.gov.in/,N/A,Ongoing,N/A,N/A
Small Farmers' Crop Insurance,Private,19-60,All,All,Below Poverty Line,Rural,Crop insurance against natural calamities,Farmers with land and verified insurance policies,"Financial protection, income stabilization",Application via local insurance agents or banks,https://cropinsurance.gov.in/,N/A,1-3 years,Premiums,Monthly
Urban Skill Enhancement Fund,Private,19-35,All,All,Middle,Urban,Skill enhancement for urban youth,"Urban youth, unemployed or underemployed","Training, internships, job placements",Application at training centers or online,https://urbantraining.gov.in/,N/A,6 months to 1 year,N/A,N/A
Women Self-Help Group Financing,Government,19-60,Female,All,Below Poverty Line,Rural and Urban,Support women-led self-help groups,Women forming or part of SHGs,"Credit support, capacity building, marketing assistance",Application via bank or cooperative societies,https://wshg.gov.in/,N/A,1-3 years,N/A,N/A
Smart Agriculture Initiative,Private,19-60,All,All,Middle,Rural,Adopt smart farming practices,Farmers with access to land and technology,"Use of sensors, data analytics, efficient water use",Application through agricultural extension services,https://smartagri.gov.in/,N/A,1-3 years,N/A,N/A
Urban Greening Program,Government,All,All,All,All,Urban,Increase urban greenery and environmental health,Urban local bodies and community groups,"Plantation, parks, green spaces, environmental awareness",Application to municipal authorities,https://urbanenvironment.gov.in/,N/A,Ongoing,N/A,N/A
Rural Digital Connectivity Scheme,Government,All,All,All,All,Rural,Expand digital connectivity in rural areas,"Rural households, internet service providers","Internet access, digital services",Through local telecom and government agencies,https://ruralconnect.gov.in/,N/A,Ongoing,N/A,N/A
Clean Energy for Schools,Private,All,All,All,All,All India,Implement renewable energy solutions in schools,Schools in rural and urban areas,"Solar panels, energy savings, environmental awareness",Application via education and energy departments,https://cleanenergy.gov.in/,N/A,Ongoing,N/A,N/A
Urban Water Supply Modernization,Government,All,All,All,All,Urban,Upgrade water supply infrastructure in cities,Urban water departments and municipalities,"Reliable water supply, sanitation improvements",Proposal submission to urban authorities,https://urbanwater.gov.in/,N/A,Ongoing,N/A,N/A
Rural Health and Hygiene Campaign,Government,All,All,All,All,Rural,Promote health and hygiene practices,All rural households,"Health awareness, sanitation facilities",Local health department campaigns,https://ruralhealth.in/,N/A,Ongoing,N/A,N/A
Skill Development for Persons with Disabilities,Government,19-60,All,All,All,All India,Inclusive skill development for PWDs,Persons with disabilities,"Training, placement assistance, accessibility support",Through disability welfare organizations,https://skillsPWD.gov.in/,N/A,6 months to 1 year,N/A,N/A
Water Conservation Campaign,Government,All,All,All,All,All India,Promote water conservation awareness,All citizens,"Awareness programs, training, community initiatives",Through government campaigns and NGOs,https://waterconservation.in/,N/A,Ongoing,N/A,N/A
National Rural Livelihoods Mission,Government,All,All,All,Below Poverty Line,Rural,Enhance rural livelihood opportunities,Rural households below poverty line,"Skill training, self-employment, microfinance",Application at local village and district offices,https://nrlm.gov.in/,N/A,Ongoing,N/A,N/A
Educational Loan for Students,Private,18-30,All,All,All,All India,Assist students in higher education financing,"Students accepted in recognized institutions, PAN and KYC","Loans with low interest, repayment options",Application at bank branches or online,https://educationloan.gov.in/,Interest rate 7-10% annually,Until course completion + repayment period,Interest + principal,Monthly or quarterly
Affordable Health Insurance Scheme,Private,19-60,All,All,Middle,All India,Make health insurance accessible to middle income groups,Individuals with PAN and KYC,"Health coverage, cashless treatment, premiums",Online or through insurance agents,https://healthinsure.in/,N/A,1 year renewable,Premiums,Monthly
Rural Broadband Connectivity,Government,All,All,All,All,Rural,Extend broadband services to rural areas,"Rural households, internet service providers","Internet access, telemedicine, e-education",Through telecom department and local authorities,https://ruralbroadband.gov.in/,N/A,Ongoing,N/A,N/A
Urban Skill Hub,Government,19-35,All,All,Middle,Urban,Create skill hubs for urban youth employment,"Urban youth, unemployed","Training centers, job linkage",Through municipal bodies and online,https://urbanhubs.gov.in/,N/A,1-2 years,N/A,N/A
National Water Conservation Campaign,Government,All,All,All,All,All India,Promote water conservation practices,All citizens,"Training, community activities, awareness","Government campaigns, NGOs",https://waterconserve.gov.in/,N/A,Ongoing,N/A,N/A
Urban Renewable Energy Initiative,Private,All,All,All,All,Urban,Support renewable energy projects in cities,"Urban residents, businesses, energy companies","Subsidies, technical assistance, reduced costs",Application via government or private schemes,https://urbanrenewable.gov.in/,N/A,Ongoing,N/A,N/A
Rural Water Supply and Sanitation,Government,All,All,All,All,Rural,Improve rural water supply and sanitation,"Rural households, local government","Water infrastructure, sanitation facilities",Through local government schemes and programs,https://ruralwater.in/,N/A,Ongoing,N/A,N/A
Digital Financial Literacy for Women,Government,19-60,Female,All,Middle,All India,Promote digital financial literacy among women,"Women with bank accounts, interested in digital finance","Training, digital transaction support","At banks, financial institutions, online portals",https://digitalfinlit.gov.in/,N/A,Ongoing,N/A,N/A
Smart Traffic Management System,Government,All,All,All,All,Urban,Reduce traffic congestion using smart technology,Urban traffic departments,"Smart signals, traffic data analytics",Proposal submission to urban authorities,https://smarttraffic.gov.in/,N/A,Ongoing,N/A,N/A
Rural Education Enhancement Program,Government,All,All,All,All,Rural,Improve education infrastructure and quality,"Rural schools, education departments","School infrastructure, teacher training, digital classrooms",Application through district education offices,https://ruraleducation.gov.in/,N/A,Ongoing,N/A,N/A
Urban Safety and Security Scheme,Government,All,All,All,All,Urban,Enhance safety and security in cities,Urban law enforcement agencies,"CCTV surveillance, police modernization, community policing",Proposal submission to municipal authorities,https://urbansafety.gov.in/,N/A,Ongoing,N/A,N/A
Rural Housing and Sanitation Scheme,Government,All,All,All,Below Poverty Line,Rural,Affordable rural housing and sanitation,Rural families below poverty line,"Housing units, sanitation facilities",Application via local rural development offices,https://ruralhousing.gov.in/,N/A,Ongoing,N/A,N/A
Environmental Education in Schools,Government,6-18,All,All,All,All India,Raise awareness about environmental issues,School students,"Environmental curriculum, awareness programs",Incorporation into school curriculum,https://environmentaleducation.gov.in/,N/A,Ongoing,N/A,N/A
Smart Waste Segregation Program,Government,All,All,All,All,Urban,Promote waste segregation and recycling,Urban households and waste collectors,"Recycling, waste reduction, environmental benefits",Community campaigns and municipal initiatives,https://smartwaste.gov.in/,N/A,Ongoing,N/A,N/A
Rural Electrification and Renewable Energy,Government,All,All,All,All,Rural,Expand rural electrification with renewable sources,"Rural households, energy projects","Electricity, renewable energy systems",Application via rural electrification offices,https://renewableenergyrural.gov.in/,N/A,Ongoing,N/A,N/A
Pradhan Mantri Mudra Yojana,Government,19-35,All,All,Below Poverty Line,All India,Microcredit,Micro or small entrepreneurs,Access to collateral-free loans up to INR 10 lakh,Online application with business plan submission,https://mudra.org.in,Interest rate 8-12% p.a.,N/A,Up to INR 10 lakh,Monthly
Rural Electrification Savings Scheme,Government,All,All,All,Below Poverty Line,Rural India,Savings,Residents of rural areas,Savings with government incentives and subsidies,Visit local bank branches or online portal,https://ruralindia.gov.in,Interest rate 4-6% p.a.,5 years,N/A,Quarterly
LIC Micro Insurance Scheme,Private,19-60,All,All,Below Poverty Line,All India,Insurance,All residents of India below poverty line,Affordable micro-insurance policies covering health and life,Online or at LIC offices,https://licindia.in,Coverage benefits as per policy terms,1 year to lifetime options,N/A,Annually
Jan Dhan Yojana,Government,All,All,All,All,All India,Banking and Financial Inclusion,Open to all citizens of India,Basic banking account with zero balance and debit card,Online registration or at bank branches,https://pmjdy.gov.in,N/A,N/A,N/A,N/A
Private Wealth Management Plan,Private,36-60,All,General,Upper,Urban India,Investment and Wealth Growth,High net-worth individuals,Customized investment portfolio management,Consultation with wealth advisors,https://privatewealthindia.com,Average 12-15% annual returns,"Flexible, 3-10 years",Minimum INR 1 lakh,Quarterly
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Savings for girl child’s education and marriage,Parents or guardians of girl children,"Interest rate 7-8% compounded annually, tax benefits",Online or bank branch registration,https://sukanyasamriddhi.nic.in,Principal + Interest,21 years or maturity of 21 years,As little as INR 250 per month,Monthly
Microcredit for Women Entrepreneurs,Private,19-50,Female,OBC,Below Poverty Line,Urban and Rural India,Microcredit,Women entrepreneurs with viable business plans,"Access to micro-loans, business training, and mentorship",Online application with business plan review,https://womenmicrocredit.in,Interest rate 10-15% p.a.,1-3 years,"INR 50,000 to INR 5 lakh",Monthly
Senior Citizens Saving Scheme,Government,60+,All,All,All,All India,Retirement savings,Senior citizens of India,"Interest rate 8% compounded quarterly, tax benefits",Visit bank or post office or apply online,https://seniorsavings.gov.in,Interest accumulated over scheme duration,5 years,N/A,N/A
NRI Investment Scheme,Private,All,All,All,Upper,India & Abroad,Investment diversification,NRI residents and investors,Access to exclusive investment products and services,Online account setup and verification,https://nriinvestments.com,"Variable, based on investment type",Flexible,N/A,N/A
Youth Financial Literacy Program,Government,All,All,All,All,All India,Financial literacy and education,All youth and students,"Workshops, training sessions, online courses",Register online or through partner institutions,https://financialliteracy.gov.in,N/A,Ongoing,N/A,N/A
Startup Incubation and Funding Support,Government,19-45,All,All,Middle,Urban India,Supporting startups and innovation,Startups with innovative ideas or products,"Funding, mentorship, workspace support",Application through government portals and pitch events,https://startupsupport.in,N/A,5 years,N/A,N/A
Smart Savings Account for Students,Private,6-18,All,All,All,Urban and Rural India,Promoting savings habit among youth,Students enrolled in recognized schools or colleges,Special savings account with higher interest rates and rewards,Open account at bank branches or online,https://smartstudentsavings.com,Interest rate 4-6% p.a.,N/A,N/A,N/A
Entrepreneurship Development Program,Government,19-35,All,All,Middle,All India,Promoting entrepreneurship and skill development,Individuals with viable business ideas,"Training, seed funding, mentorship",Application through government portals,https://entrepreneurship.gov.in,N/A,1 year,N/A,N/A
National Pension Scheme,Government,19-60,All,All,Middle,All India,Retirement savings,All Indian residents,"Monthly pension after retirement, tax benefits",Online registration or through pension funds,https://nps.gov.in,"Variable, based on contributions and market performance",Lifetime or until opting out,Minimum INR 500,Monthly
Micro Insurance for Small Farmers,Government,18-60,All,All,Below Poverty Line,Rural India,Insurance and financial protection for farmers,Small farmers in rural areas,"Crop insurance, health insurance options",Application through local cooperatives or banks,https://microinsurance.gov.in,Coverage as per policy,1 year to policy term,"Variable, based on policy",Annual or N/A
Digital Payment Promotion Scheme,Government,All,All,All,All,All India,Promoting digital payments and financial inclusion,All residents of India,"Cashback, incentives for digital transactions","Download apps, registration at banking or post offices",https://digitalpayment.gov.in,N/A,Ongoing,N/A,N/A
Affordable Housing Finance Scheme,Private,36-60,All,OBC,Middle,Urban India,Housing finance for middle-income families,Eligible applicants with stable income,Affordable loans with flexible repayment options,Apply online or through approved housing finance companies,https://housingfinance.in,Interest rate 7-9%,15-20 years,N/A,Monthly
Skill Development and Vocational Training,Government,19-35,All,All,Middle,All India,Skill enhancement for employment,Youth and unemployed individuals,"Training certifications, job placement assistance",Apply online or at training centers,https://skilldevelopment.gov.in,N/A,6 months to 2 years,N/A,N/A
Women Self-Help Group Funding,Government,19-60,Female,OBC,Below Poverty Line,Rural India,Supporting women entrepreneurs,Women in self-help groups with viable projects,"Seed funding, training, marketing support",Application through local NGOs and government offices,https://womenshgsupport.in,Interest rate 8-12% p.a.,1-3 years,"INR 50,000 to INR 3 lakh",Monthly
National Rural Livelihood Mission,Government,All,All,All,Below Poverty Line,Rural India,Poverty alleviation and livelihood promotion,Residents of rural India,"Skill training, microcredit, social capital building",Registration through local Panchayats or NGOs,https://nrlm.gov.in,N/A,Ongoing,N/A,N/A
Post Office Savings Account,Government,All,All,All,All,All India,Savings and financial security,All residents of India,"Zero balance savings account, safe and accessible",Visit post office or apply online,https://indiapost.gov.in,Interest rate 4-6% p.a.,N/A,N/A,N/A
Venture Capital Funding for Tech Startups,Private,19-45,All,All,Upper,Urban India,Supporting high-growth potential startups,Tech startups with innovative solutions,"Equity funding, mentorship, industry connections",Application through startup portals and pitch events,https://venturecapital.in,"Variable, based on startup success",5 years,N/A,N/A
Self-Employed Welfare Scheme,Government,19-60,All,All,Middle,All India,Support for self-employed workers,Self-employed individuals with income below middle-income threshold,"Health insurance, skill training, financial support",Application through local government offices,https://selfemployedwelfare.gov.in,N/A,2 years,N/A,N/A
Youth Investment and Savings Scheme,Private,19-35,All,All,Middle,All India,Promoting savings among youth,"Students, young professionals","Interest benefits, matching savings schemes",Open account at partner banks or online platforms,https://youthsavings.in,Interest rate 4-6% p.a.,N/A,N/A,N/A
Agricultural Credit Support Scheme,Government,18-60,All,All,Below Poverty Line,Rural India,Providing credit to farmers,Small and marginal farmers,"Low-interest loans, subsidy on interest",Application through local cooperative banks or land records,https://agriculturalcredit.gov.in,Interest rate 7-9%,N/A,N/A,Monthly
Urban Microfinance Initiative,Private,19-50,All,OBC,Below Poverty Line,Urban India,Microfinance for urban poor,Urban poor with viable business plans,"Micro-loans, business training",Application at microfinance institutions or banks,https://urbanmicrofinance.in,Interest rate 10-15% p.a.,1-2 years,"INR 20,000 to INR 2 lakh",Monthly
National Skill Development Mission,Government,19-35,All,All,Middle,All India,Skill development and employment,Youth and unemployed individuals,"Skill certification, job placement support",Apply online or at training centers,https://nsdm.gov.in,N/A,6 months to 2 years,N/A,N/A
Startup India Seed Fund Scheme,Government,19-45,All,All,Middle,Urban India,Seed funding for startups,Startups with innovative ideas,"Seed capital, mentorship",Application through government portals and pitch events,https://startupindia.gov.in,N/A,2 years,N/A,N/A
Rural Housing and Infrastructure Scheme,Government,All,All,All,Below Poverty Line,Rural India,Rural infrastructure development and housing,Residents of rural areas,"Housing grants, infrastructure funding",Application through local government offices,https://ruralhousing.gov.in,N/A,5-10 years,N/A,N/A
Digital Literacy for Farmers,Government,All,All,All,Below Poverty Line,Rural India,Digital literacy and financial inclusion for farmers,Small farmers and rural residents,"Training, access to digital financial services",Application through local cooperatives or banks,https://digitalliteracy.gov.in,N/A,6 months to 1 year,N/A,N/A
Financial Inclusion for Women,Government,19-60,Female,All,Below Poverty Line,All India,Empower women financially,Women in rural and urban areas,"Bank accounts, micro-insurance, skill training",Apply online or through local banks and NGOs,https://financialinclusion.gov.in,N/A,Ongoing,N/A,N/A
Smart Card for Unorganized Workers,Government,19-60,All,All,Below Poverty Line,All India,Social security for unorganized workers,Unorganized workers with valid identification,"Social security benefits, healthcare access",Application through government offices or online,https://smartcard.gov.in,N/A,5 years,N/A,N/A
Elderly Care Financial Scheme,Government,60+,All,All,All,All India,Financial support for elderly,Elderly residents of India,"Monthly pension, healthcare benefits",Application through local government offices or online,https://elderlycare.gov.in,N/A,Lifetime or until death,N/A,Monthly
Pradhan Mantri Awas Yojana,Government,36-60,All,All,Middle,All India,Affordable housing for urban poor,Low-income urban residents,"Subsidized housing loans, building grants",Online application or at bank branches,https://pmay.gov.in,N/A,20 years,N/A,Monthly
Digital Banking and Financial Services,Private,All,All,All,All,All India,Promote digital banking usage,All residents of India,"Ease of transactions, cashback offers",Register with partner banks or online platforms,https://digitalbanking.in,N/A,Ongoing,N/A,N/A
Crop Loan Subsidy Scheme,Government,18-60,All,All,Below Poverty Line,Rural India,Provide affordable credit to farmers,Small and marginal farmers,"Interest subsidy, low-interest loans",Application through cooperative banks or land records,https://croploans.gov.in,Interest rate 7-9% after subsidy,N/A,N/A,Monthly
Skill Training and Certification Program,Government,19-35,All,All,Middle,All India,Skill development for employment,Unemployed youth and workers seeking skill enhancement,"Certificates, job assistance",Apply online or at training centers,https://skilltraining.gov.in,N/A,6 months to 1 year,N/A,N/A
Women Entrepreneurship Support Scheme,Government,19-45,Female,OBC,Middle,Urban India,Supporting women entrepreneurs,Women with viable business ideas,"Funding, training, mentorship",Application through government portals,https://womenentrepreneurship.in,N/A,2-3 years,N/A,N/A
Rural Electrification Initiative,Government,All,All,All,Below Poverty Line,Rural India,Rural electrification and infrastructure development,Rural residents,"Electricity access, infrastructure improvement",Application at local government offices,https://ruralelectricity.gov.in,N/A,N/A,N/A,N/A
Financial Literacy Campaign for Women,Government,19-60,Female,All,All,All India,Financial literacy and empowerment for women,Women of all ages,"Workshops, training, informational materials",Registration through local banks or NGOs,https://financialliteracywomen.gov.in,N/A,Ongoing,N/A,N/A
Start-Up India Investment Scheme,Government,19-45,All,All,Middle,Urban India,Supporting early-stage startups,Startups with innovative solutions,"Seed funding, mentorship, industry connections",Apply through government portals and pitch events,https://startupprogram.in,N/A,3 years,N/A,N/A
E-Governance Digital Platform,Government,All,All,All,All,All India,Enhancing government services through digital platforms,All citizens and government entities,"Faster service delivery, transparency",Registration on official portals,https://egovernance.gov.in,N/A,Ongoing,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India-wide,"Bank Account Coverage, Financial Inclusion",Open to all residents of India aged 6 and above,"Basic savings account, debit card, overdraft facility",Visit nearby bank branch or apply online via official portal,https://pmjdy.gov.in,N/A,N/A,N/A,N/A
National Savings Certificate,Government,All,All,All,Middle,India-wide,"Long-term Savings, Investment","Indian residents, minimum age 18","Interest income, tax benefits",Apply at authorized bank or post office,https://nsc.gov.in,Interest rate 6.8% p.a.,5 years or more,Minimum INR 1000,One-time
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India-wide,Child Education and Marriage Savings,Parents or guardians of girl child,"Interest income, tax benefits, maturity amount in INR",Register online or through bank/post office,https://sukanyasamriddhi.gov.in,Interest rate 7.6% p.a.,21 years from opening,"No minimum, up to INR 1.5 lakh annually",Monthly or quarterly
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,"Urban, Rural, All",Housing for All,"EWS and LIG categories, priority to urban poor","Interest subsidy on home loans, affordable housing",Apply through state housing boards or online portal,https://pmaymis.gov.in,N/A,Ongoing,N/A,N/A
Microfinance Institution Scheme,Private,19-60,All,OBC,Below Poverty Line,Rural areas,Microcredit for Small Entrepreneurs,"Small entrepreneurs, women, rural residents","Microloans, financial literacy training",Application through partner microfinance institutions,https://microfinanceindia.org,Interest rate 12-24% annually,1-5 years,Based on loan agreement,Monthly
Digital Wallet Initiative,Private,All,All,General,Middle,Urban,Digital Payments and Financial Literacy,"Smartphone users, resident adults","Easy digital transactions, rewards","Download app, register with identity proof",https://digitalwallet.in,N/A,N/A,N/A,N/A
Rural Self-Employment Training Program,Government,19-60,All,SC,Below Poverty Line,Rural India,"Skill Development, Self-Employment","Rural residents, unemployed youth","Training, seed capital, market linkages",Apply via local government offices or online,https://rsetp.gov.in,N/A,Varies,N/A,N/A
Exclusive Health Insurance for Women,Private,19-60,Female,All,Middle,Urban and Rural,"Health Coverage, Financial Protection","Women aged 19-60, resident in India","Cashless treatment, health cover",Register online or at health centers,https://womenhealth.in,N/A,1 year renewable,INR 500 annually,Annual
