scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Invest India Startup Fund,Private,19-35,All,All,Middle,All India,Startup Funding and Incubation,Early-stage startups with innovative ideas,"Seed funding, Mentorship, Incubation support",Application through official portal,https://investindia.gov.in,"Variable, depending on startup success",Up to 3 years
Rural Telemedicine Initiative,Government,19-60,All,All,All,Rural India,Healthcare Access Improvement,Rural households and clinics,"Telemedicine consultations, Health awareness, Medical supplies",Application at local health offices or online,https://ruralhealth.gov.in,N/A,Ongoing
Skill for Life Scheme,Private,19-35,All,All,Middle,All India,Skill Development and Employment,Individuals seeking skill training,"Certification, Job placement support",Online registration or through partner training centers,https://skillforlife.in,N/A,Varies by program
Rural Digital Payment Gateway,Government,19-60,All,All,All,Rural India,Digital Payments Infrastructure,All rural residents with bank accounts,"Seamless digital transactions, Digital literacy",Registration at bank or local government offices,https://digitalpayments.gov.in,N/A,Ongoing
Women Entrepreneurship Program,Government,19-60,Female,All,All,All India,Women's Entrepreneurship and Economic Empowerment,Women entrepreneurs above 18 years,"Business training, Funding, Market linkages",Application through government portal or local offices,https://women.gov.in,N/A,Ongoing
Urban Skill Enhancement Initiative,Government,19-35,All,All,Middle,Urban India,Urban Skill Development,Urban youth above 18 years,"Skill certification, Employment opportunities",Online registration or through training centers,https://urbanindia.gov.in,N/A,Varies
Rural Industrial Development Scheme,Government,19-60,All,All,All,Rural India,Industrial Development and Support,"Micro, small, and medium enterprises in rural areas","Financial assistance, Infrastructure support, Market access",Application through rural development offices,https://ruralindustry.gov.in,N/A,Ongoing
Microfinance for Women Entrepreneurs,Private,19-60,Female,All,Below Poverty Line,Rural and Urban,Microfinance and Women Empowerment,Women micro-entrepreneurs,"Microloans, Business support, Capacity building",Application at microfinance institutions or online,https://womeneconomy.in,Interest rate: 12-16% depending on loan type,Up to 3 years
Rural Water Supply Scheme,Government,All,All,All,All,Rural India,Water Supply and Sanitation,Rural households and communities,"Water connections, Sanitation infrastructure",Apply at local rural development offices or water boards,https://ruralwater.gov.in,N/A,Ongoing
Smart Village Development Program,Government,All,All,All,All,Rural India,Rural Development and Modernization,All rural communities and local bodies,"Infrastructure, Digital connectivity, Livelihood programs",Application at local government offices,https://smartvillage.gov.in,N/A,Ongoing
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,"Bank Account Accessibility, Financial Inclusion",Open to all citizens above 10 years of age,"Zero balance accounts, Insurance coverage",Visit local bank branch with ID proof,https://www.pmjdy.gov.in/,N/A,Lifetime
Stand Up India Scheme,Government,19-35,All,SC,Below Poverty Line,All India,Microcredit for SC/ST entrepreneurs,"Entrepreneurs from SC/ST categories, aged 18-55","Subsidized loans, Mentoring support",Online application via official portal,https://www.standupmitra.in/,Interest rate 8-10%,5-7 years
Digital India Payments Program,Government,All,All,All,All,"Urban, Rural","Digital Payments, Financial Literacy",Open to all citizens,"Promoting digital transactions, Financial literacy workshops",Registration through digital platforms or at local centers,https://digitalindia.gov.in/,N/A,Ongoing
MicroFinance Private Lending,Private,19-60,All,OBC,Below Poverty Line,Rural,Microcredit for small businesses,"Small business owners, women entrepreneurs, aged 19-60","Loan amounts up to INR 5 lakhs, Flexible repayment",Application at partner microfinance institutions,https://microfinancepartners.in/,"Interest rates vary, typically 12-15%",1-5 years
Rural Savings and Investment Plan,Government,6-18,Female,OBC,Middle,Rural,"Savings Incentives, Education Funding",Children and teenagers from OBC families,"Interest bonuses, Scholarships",Application through school or local government office,https://ruralinves.in/,Interest rate 6-8%,Lifetime
National Pension Scheme,Government,36-60,All,All,Upper,All India,Retirement Planning,Citizens aged 18-60 with PAN Card and Aadhaar,"Monthly pension after retirement, Tax benefits",Register online or at bank branches,https://npstrust.org.in/,"Pension payout varies, based on contribution",Lifetime
Urban Wealth Creation Initiative,Private,19-35,All,All,Middle,Urban,"Wealth Building, Investment Education",Urban residents aged 19-35 with stable income,"Investment advice, Digital wealth management tools",Online registration and consultation,https://urbanwealth.in/,"Variable, based on investments",N/A
Women Entrepreneur Support Fund,Government,19-35,Female,OBC,Middle,All India,Supporting women-led startups and businesses,"Women entrepreneurs, aged 19-40","Seed funding, Mentoring, Networking events",Application through official portal,https://womenentrepreneur.gov.in/,N/A,N/A
Affordable Housing Loan Scheme,Private,36-60,All,General,Middle,Urban and Rural,Housing Finance,"Individuals with stable income, property ownership capacity","Low-interest loans, Extended repayment period",Application at partner banks or housing finance companies,https://affordablehousing.in/,Interest rate 7-9%,15-20 years
Skill Development Finance Scheme,Government,19-35,All,All,Below Poverty Line,Rural and Urban,Skill enhancement and employment generation,"Individuals seeking skill training, aged 18-35","Training subsidies, Job placement support",Apply through designated training centers or online portal,https://skilldev.in/,N/A,Training duration + 1 year post-training
Senior Citizens Investment Plan,Private,60+,All,All,All,All India,Senior Citizens Financial Security,Individuals aged 60 and above,"Guaranteed returns, Health and travel benefits",Application via banks or online,https://seniorcitizens.in/,Interest rate 5-7%,Lifetime
Agricultural Credit Card Scheme,Government,19-60,All,General,Below Poverty Line,Rural,Farmers' Credit Access,Farmers with landholding above specified minimums,"Low-interest credit, Easy repayment options",Apply at local agricultural offices or bank branches,https://agcreditcard.gov.in/,Interest rate 7-9%,1-3 years
Micro Insurance Platform,Private,All,All,All,All,"Urban, Rural",Micro Insurance Products,Open to all residents,"Affordable insurance coverage for health, life, and property",Register online or through agents,https://microinsurance.in/,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking Access for All,Open to all residents of India above 10 years of age,"Basic savings account with zero balance, overdraft facility",Visit a bank branch or apply online with proof of identity and address,https://pmjdy.gov.in/,N/A,Lifetime
Mahila Savings Scheme,Government,19-35,Female,All,Middle,Urban and Rural,Encourage savings among women,Women above 18 years with income proof,"Higher interest rates, savings security",Apply at designated bank branches with ID proof,https://womenbanking.gov.in/,Interest rate 4% p.a.,N/A
Microcredit for Farmers,Private,36-60,Male,OBC,Below Poverty Line,Rural India,Microfinance for Agriculture,Farmers with land holding less than 2 hectares,Low-interest loans for crop cultivation and equipment,Apply through cooperative banks or microfinance institutions,https://microfinance.in/,Interest rate 7% p.a.,1-5 years
Retirement Pension Scheme,Government,60+,All,All,All,All India,Retirement Income Security,All citizens above 60 years of age,"Monthly pension benefits, health benefits",Register at local social welfare offices or online,https://pension.gov.in/,N/A,Lifetime
Youth Financial Literacy Program,Government,19-35,All,All,All,All India,Financial Education,Students and young adults,"Workshops, online courses, financial guidance",Registration through educational institutions or online portal,https://finlit.gov.in/,N/A,Ongoing
Private Microfinance Initiative,Private,19-60,All,All,Below Poverty Line,Urban and Rural,Microfinance for Small Entrepreneurs,"Small business owners, entrepreneurs with limited credit access",Small loans with flexible repayment,Application at partner microfinance institutions,https://privatemicrofinance.com/,Interest rate 12% p.a.,6 months to 3 years
Agricultural Investment Fund,Government,36-60,All,All,Upper,Rural India,Funding for Agricultural Infrastructure,Agricultural cooperatives and registered farmers,"Funding for irrigation, equipment, storage facilities",Proposal submission to district agricultural offices,https://agriinvestment.gov.in/,N/A,3-10 years
Digital Banking Initiative for Senior Citizens,Government,60+,All,All,All,All India,Financial Inclusion for Elderly,Senior citizens above 60,"Simplified digital banking access, dedicated helpline",Apply through banks or digital portals,https://elderlybanking.gov.in/,N/A,N/A
OBC Youth Skill Development Scheme,Government,19-35,All,OBC,Middle,Urban and Rural,Skill Development for Youth,OBC youth above 18 years,"Skill training programs, certification, job placement support",Application through designated skill centers or online,https://obcskills.gov.in/,N/A,1-2 years
Minority Community Savings Initiative,Government,6-18,All,Minority,Below Poverty Line,All India,Promote Savings among Minority Youth,Minority community members below 18 years,Savings accounts with special interest benefits,Apply through banks or community centers,https://minoritysaving.gov.in/,Interest rate 3.5% p.a.,Lifetime
Rural Financial Empowerment Program,Government,36-60,All,All,Middle,Rural India,Financial Access and Education,Residents of rural areas above 18 years,"Financial literacy, access to banking services",Register at local banks or cooperative societies,https://ruralfin.gov.in/,N/A,Ongoing
Private Investment in Microinsurance,Private,19-60,All,All,Middle,Urban and Rural,Microinsurance for health and life,Individuals seeking affordable insurance solutions,"Coverage for health, accident, and life risks",Apply online or at partner agencies,https://microinsure.in/,N/A,1-3 years
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking inclusion for all,Open to all residents of India with valid ID,Basic banking accounts with overdraft facilities,Visit a bank branch or apply online with necessary documents,https://www.pmjdy.gov.in/,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child girl child's savings and welfare,Parents or guardians of girl children under 10 years,"Interest rate of 7.6% per annum, tax benefits",Apply through authorized banks or post office,https://financialservices.gov.in/,"Interest rate 7.6% per annum, maturity amount varies with deposit amount and duration",15 years or up to the girl turns 21
Kisan Credit Card Scheme,Government,19-60,All,All,Middle,Rural,Credit for farmers for crop investment and working capital,Farmers engaged in agricultural activities with landholding,"Easy credit access, low-interest rates, flexible repayment",Application through local banks with land proof and KYC documents,https://agricoop.gov.in/,Interest rates vary from 4% to 7% annually,1 year with renewable options
Bharat Microfinance Scheme,Private,19-60,All,OBC,Below Poverty Line,Urban,Microcredit for small entrepreneurs,Small entrepreneurs with viable business plans,"Affordable microloans, financial literacy support",Application through microfinance institutions or partnered banks,https://microfinance.gov.in/,Interest rate around 12-15% per annum,6 months to 3 years
Mahila Microfinance Initiative,Private,19-60,Female,SC,Below Poverty Line,Rural,Microfinance support for women entrepreneurs,Women with small business plans or existing businesses,"Microloans, skill development, financial counseling",Apply via partner NGOs or microfinance institutions,https://womenmicrofinance.gov.in/,Interest rate approximately 10-14% per annum,1 to 5 years
Rural Housing Scheme,Government,36-60,All,All,Below Poverty Line,Rural,Affordable housing for rural poor,Rural residents with income below specified threshold,"Subsidized housing loans, construction support",Application at local government offices or banks,https://ruralhousing.gov.in/,"Interest rate 6-8% per annum, subsidy component varies",15-20 years
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,All India,Providing pension income for elderly,Elderly citizens with low or fixed income,"Monthly pension payout, healthcare support",Register at local government offices or online,https://pension.gov.in/,"Monthly pension, variable based on contribution",Lifetime
Digital Wallet Initiative for Small Traders,Private,19-60,All,General,Upper,Urban,Promote digital payments among small traders,Registered small traders with valid business license,"Cashback offers, easy digital transactions",Download app and register with business details,https://digitalwallet.gov.in/,N/A,N/A
National Skill Development Scheme,Government,19-35,All,All,All,All India,Skill enhancement for youth,Youth with minimum educational qualification,"Training programs, certification, employment linkages",Apply online or through training centers,https://nsdcindia.org/,N/A,3 months to 2 years
Start-up India Scheme,Government,19-40,All,All,All,All India,Promote entrepreneurship among youth,Individuals or groups with innovative business ideas,"Tax benefits, funding support, mentorship","Register online, submit business plan",https://startupindia.gov.in/,N/A,N/A
Kisan Credit Card Scheme,Government,19-35,All,All,Below Poverty Line,All India,Microcredit and Credit Facility for Farmers,Farming farmers with valid land holdings,"Access to affordable credit, farm equipment loans",Apply through local bank branch with land documents,https://www.kisancard.gov.in,Interest rate 4% p.a.,5 years
Digital Wallet for Small Vendors,Private,19-60,All,All,Middle,Urban areas,Financial Literacy and Digital Payments,Small business vendors operating in urban markets,"Cashback offers, digital payment support",Register via mobile app or website,https://www.digipay.com,N/A,N/A
Senior Citizens Pension Scheme,Government,60+,All,All,Below Poverty Line,Rural and Urban,Pension and Retirement Benefits,Senior citizens with valid ID proof,Monthly pension of INR 2000-5000,Online or local government office registration,https://www.seniorpension.gov.in,N/A,Lifetime
Microfinance for Women Entrepreneurs,Private,19-45,Female,OBC,Middle,Rural,Microcredit and Entrepreneurship Development,Women entrepreneurs with business plan,"Low-interest loans, business training",Application through partnered microfinance institutions,https://www.womenmicrofinance.org,Interest rate 5% p.a.,3-7 years
Educational Savings Scheme,Government,0-18,All,All,Upper,All India,Education Savings and Investment,Parents or guardians of children,"Tax benefits, matched savings programs",Apply through bank or post office,https://www.educationsavings.gov.in,Interest rate 6% p.a.,Until child reaches 18
Startup Funding Initiative,Government,19-35,All,All,All,All India,Seed Funding and Business Development,Registered startups with innovative ideas,Grants and equity funding,Online application with business plan submission,https://www.startupfunding.gov.in,N/A (Grant),Up to 2 years
Rural Housing Scheme,Government,All,All,All,Below Poverty Line,Rural,Housing and Shelter,Households below poverty line in rural areas,"Interest subsidy, construction support",Application through rural development office,https://www.ruralhousing.gov.in,N/A,N/A
Worker's Provident Fund Scheme,Government,All,All,All,All,All India,Retirement Savings and Benefits,Employees in formal sector,"Retirement corpus, interest benefits",Employer registration and employee contribution,https://www.epfindia.gov.in,Interest rate 8% p.a.,Lifetime
Affordable Health Insurance Scheme,Private,0-60,All,All,Below Poverty Line,All India,Health Coverage and Medical Benefits,All individuals below poverty line,"Health coverage for major illnesses, outpatient support",Apply through local health centers or online,https://www.healthinsurance.gov.in,N/A,"1 year, renewable"
Self-Help Group Bank Linkage Program,Government,All,All,OBC,Middle,Rural and Urban,Microfinance and Financial Inclusion,Existing self-help groups with bank linkage,"Access to credit, training programs",Group registration with bank,https://www.shris.gov.in,Interest rate 6% p.a.,N/A
Youth Skill Development Fund,Government,19-25,All,All,Middle,All India,Skill Development and Employment,"Unemployed youth, age 19-25","Training grants, apprenticeship support",Online application with skill assessment,https://www.youthskills.gov.in,N/A,6 months - 2 years
Women Empowerment through Savings,Private,19-45,Female,OBC,Middle,All India,Financial Literacy and Savings Encouragement,"Women with bank accounts, above 19 years","Incentives for savings, financial literacy programs",Bank registration and participation in programs,https://www.womenempowerment.org,Interest rate 4% p.a.,Lifetime
Rural Electrification Microfinance,Government,All,All,All,Below Poverty Line,Rural India,Financial Inclusion and Microfinancing,Rural households lacking access to electricity and banking,"Micro loans, access to financial services",Application through local rural banks and cooperatives,https://www.ruralmicrofinance.gov.in,Interest rate 5% p.a.,3-5 years
Urban Digital Banking Access,Private,19-60,All,All,Middle,Urban India,Digital Banking and Financial Literacy,Urban residents with bank accounts,"Digital transaction support, financial education",Bank registration or mobile app sign-up,https://www.urbandigital.gov.in,N/A,N/A
Agricultural Insurance Scheme,Government,19-60,All,All,Middle,All India,Insurance and Risk Management for Farmers,Farmers with valid land records,"Crop insurance payouts, risk mitigation",Application through local insurance offices,https://www.agriinsurance.gov.in,N/A,N/A
Tech-Driven Micro Savings,Private,19-45,All,All,All,All India,Micro Savings and Investment,Individuals with bank accounts,"Automated savings plans, higher interest rates",Online registration via partner banks,https://www.microinvest.org,Interest rate 6% p.a.,N/A
Youth Financial Literacy Program,Government,15-25,All,All,All,All India,Financial Literacy Education,Students and young adults,"Workshops, online courses, certificates",Register through schools or online portal,https://www.finlit.gov.in,N/A,Ongoing
Women’s Microcredit Initiative,Private,19-45,Female,OBC,Middle,Rural India,Microcredit and Entrepreneurship Support,Women with small business ideas,"Low-interest microloans, mentoring",Application through partnered microfinance agencies,https://www.womensmicrocredit.org,Interest rate 5% p.a.,2-4 years
Rural Skill Development Program,Government,15-35,All,All,Below Poverty Line,Rural India,Skill Development and Employment,Rural youth below poverty line,"Skill training, job placements",Application at local employment centers,https://www.ruralskill.gov.in,N/A,6 months - 2 years
Smart Card Based Financial Access,Private,19-60,All,All,All,Urban and Rural India,Financial Inclusion and Identity Verification,All residents with valid ID proof,"Simplified banking access, digital identity",Register at bank or through online portal,https://www.smartcard.in,N/A,Lifetime
Agricultural Produce Market Yojana,Government,All,All,All,All,All India,Market Access and Fair Prices for Farmers,Farmers selling in regulated markets,"Market linkages, price assurance",Registration with local market committees,https://www.agmarknet.gov.in,N/A,N/A
Urban Microfinance Support Program,Private,19-60,All,All,Below Poverty Line,Urban India,Microfinance and Poverty Reduction,Urban poor households,"Micro loans, financial literacy",Application through urban microfinance institutions,https://www.urbanmicrofinance.in,Interest rate 6% p.a.,3-5 years
Rural Women’s Skill Initiative,Government,19-45,Female,OBC,Below Poverty Line,Rural India,Skill Development for Women,Rural women below poverty line,"Skill training, livelihood support",Application at local women’s development centers,https://www.ruralwomenskill.gov.in,N/A,1-2 years
Financial Inclusion through Co-operatives,Government,All,All,All,All,All India,Financial Inclusion via Co-operatives and Credit Societies,Membership of local co-operative society,"Access to credit, savings facilities",Join local co-op society and apply for schemes,https://www.cooperative.in,Interest rate 4-6% p.a.,N/A
Small Business Digital Support Program,Private,19-50,All,All,Middle,Urban India,Digital Payments and Business Support,Small business owners with bank accounts,"Digital transaction facilitation, training",Register via online portal or local banks,https://www.smallbizdigital.in,N/A,1-3 years
Rural Livelihoods Enhancement Scheme,Government,All,All,All,Below Poverty Line,Rural India,Livelihood Support and Skill Development,Rural households below poverty line,"Skill training, market linkages",Application through local development offices,https://www.rurallivelihoods.gov.in,N/A,2-4 years
Urban Financial Literacy Campaign,Government,15-35,All,All,Middle,Urban India,Financial Literacy and Inclusion,Urban residents above 15 years,"Workshops, media campaigns",Register through local banks or government offices,https://www.urbanfinlit.gov.in,N/A,Ongoing
Crop Insurance for Small Farmers,Government,19-60,All,All,Middle,All India,Crop Insurance and Risk Management,Small farmers with land documents,"Crop damage payouts, risk mitigation",Apply through local insurance agents,https://www.cropinsurance.gov.in,N/A,N/A
Skill Development for Rural Youth,Government,15-35,All,All,Below Poverty Line,Rural India,Skill Development and Employment,Rural youth below poverty line,"Skill training, job placement assistance",Application at local employment centers,https://www.ruralskill.gov.in,N/A,6 months - 2 years
Urban Shelter for Homeless,Government,All,All,All,Below Poverty Line,Urban India,Shelter and Housing Support,Homeless or vulnerable urban poor,"Temporary or permanent shelter, support services",Apply through municipal offices,https://www.urbanhousing.gov.in,N/A,N/A
Micro Insurance for Low-income Groups,Private,19-60,All,All,Below Poverty Line,All India,Insurance Coverage for Low-income Population,Individuals below poverty line with valid ID,"Insurance for health, accident, or property",Apply through microfinance institutions or online,https://www.microinsurance.gov.in,N/A,N/A
Green Energy Microfinance Support,Private,All,All,All,All,Rural and Urban India,Funding for Renewable Energy Projects,Individuals or groups with renewable energy projects,"Loans, subsidies for solar, wind, and biogas projects",Application through designated financial institutions,https://www.greenmicrofinance.gov.in,Interest rate 4-7% p.a.,5-10 years
Sakhi Savings Program,Government,19-35,Female,OBC,Middle,Rural,Savings and Financial Literacy,Women aged 19-35 in rural areas,"Interest on savings, financial literacy workshops",Online or through local banks,https://sakhisavings.gov.in,Interest rate 4% p.a.,Lifetime
Kisan Credit Card Scheme,Government,36-60,Male,General,Below Poverty Line,Rural,Microcredit for Farmers,Farming community with landholding,"Credit limit up to INR 3 lakh, concessional interest",Application at local bank branch,https://kisancreditcard.gov.in,Interest rate 7% p.a.,5 years
Senior Citizens Pension Scheme,Government,60+,All,All,All,All,Pension,Citizens above 60 years,Monthly pension of INR 2000-5000,Online or at designated centers,https://seniorpension.gov.in,N/A,Lifetime
Microfinance India,Private,19-35,All,All,Below Poverty Line,Urban,Microcredit,Individuals with income below BPL levels,"Small loans up to INR 50,000",Online application with documentation,https://microfinanceindia.com,Interest rate 18% p.a.,1-3 years
Apna Bachat Yojana,Government,6-18,All,SC,Middle,All India,Savings for Children,"Children aged 6-18, parents or guardians",Interest benefits and bonus on savings,School or bank registration,https://apnabachat.gov.in,Interest rate 3% p.a.,Lifetime
Women Entrepreneur Loan,Private,19-35,Female,OBC,Upper,Urban,Microcredit and Business Support,Women with business ideas or existing businesses,"Loans up to INR 10 lakh, mentorship support","Online application, interview process",https://womenentrepreneurloan.com,Interest rate 15% p.a.,3-7 years
Pradhan Mantri Jan Dhan Yojana,Government,All,All,All,All,All India,Bank Account Access,Anyone above 10 years old,"Zero balance savings account, overdraft facility",Online or through banking touchpoints,https://pmjdy.gov.in,N/A,Lifetime
Youth Financial Literacy Initiative,Government,19-35,All,All,All,Urban,Financial Literacy,Students and young professionals,"Workshops, online courses",Registration through website or partner institutions,https://financialliteracy.gov.in,N/A,N/A
Rural Self-Employment Training Institute,Government,19-60,All,All,All,Rural,Skill Development for Self-Employment,Rural residents with interest in self-employment,"Skill training, toolkits, startup support",Apply through local rural development offices,https://rsest.gov.in,N/A,6 months to 1 year
Digital India Micro Lending,Private,19-60,All,All,Middle,Urban,Microcredit for Digital Entrepreneurs,Entrepreneurs with digital business ideas,Microloans up to INR 2 lakh,Online application with pitch presentation,https://digitalmicroloans.com,Interest rate 12% p.a.,1-2 years
National Scholarship for SC/ST Students,Government,19-25,All,SC,Below Poverty Line,All India,Educational Scholarships,SC/ST students pursuing higher education,Financial aid covering tuition and expenses,Online application with academic records,https://scholarships.gov.in,N/A,Duration of course
Start-up India Venture Support,Government,19-35,All,All,Upper,Urban,Entrepreneurship Support,Start-ups registered in India,"Funding, mentorship, networking",Online registration and pitch,https://startupsupport.gov.in,N/A,Variable
Urban MFI Microfinance,Private,19-60,All,All,Middle,Urban,Microcredit for Urban Poor,Urban residents below middle-income level,"Small loans, financial advice",Application at local microfinance institutions,https://urbanmfi.com,Interest rate 15% p.a.,1-3 years
Women Livelihood Program,Government,19-60,Female,OBC,Middle,Rural,Livelihood Support,Women in rural areas seeking livelihood opportunities,"Training, grants, market access",Local government offices or online,https://womenlivelihood.gov.in,N/A,Lifetime
Startup India Seed Fund Scheme,Government,19-35,All,All,All,All India,Seed Funding for Startups,Startups registered in India,Seed capital up to INR 50 lakh,Online application and evaluation,https://seedfundscheme.gov.in,N/A,N/A
Skill Development Loan Scheme,Private,19-35,All,All,Middle,Urban,Skill Development Financing,Individuals seeking skill training,Loans up to INR 5 lakh at concessional rates,Online application with documentation,https://skillloans.gov.in,Interest rate 10% p.a.,1-4 years
National Rural Employment Guarantee Scheme,Government,19-60,All,All,All,Rural,Employment Generation,Rural residents willing to do unskilled manual work,"Guaranteed 100 days work, wages INR 200 per day",Apply through local government offices,https://nrega.gov.in,N/A,Lifetime
Financial Inclusion for Urban Youth,Government,19-35,All,All,Middle,Urban,Financial Awareness and Access,Urban youth aged 19-35,"Bank account facilities, financial literacy",Online registration or at banking branches,https://urbanfin.gov.in,N/A,Lifetime
Micro Insurance Scheme for Small Entrepreneurs,Private,19-60,All,All,Middle,All India,Insurance Cover for Small Businesses,Small entrepreneurs and self-employed individuals,Insurance coverage against common risks,Online or in-person registration,https://microinsure.com,N/A,1-5 years
National Digital Literacy Mission,Government,19-35,All,All,All,All India,Digital Literacy,Anyone above 14 years,"Digital skills training, certification",Online registration or partner institutions,https://ndlm.gov.in,N/A,N/A
Pradhan Mantri Mudra Yojana,Government,19-60,All,All,Middle,All India,Microenterprise Support,"Micro, small, and medium enterprises","Loans up to INR 10 lakh, no collateral",Bank or NBFC application,https://mudrayojana.gov.in,Interest rate 11% p.a.,3-5 years
Rural Women Empowerment Scheme,Government,19-60,Female,All,Below Poverty Line,Rural,Empowerment and Livelihood,Rural women above 18 years,"Training, credit, market linkage",Local government or online registration,https://ruralwomeneempowerment.gov.in,N/A,Lifetime
Urban Digital Financial Inclusion,Government,19-35,All,All,Middle,Urban,Digital Access and Literacy,Urban residents above 18 years,"Digital transaction facilities, bank accounts","Online registration, bank onboarding",https://urbandigit.in,N/A,Lifetime
Self-Help Group Bank Linkage Program,Government,19-60,All,All,All,All India,Financial Inclusion via SHGs,Members of Self-Help Groups,"Bank account linkage, credit access",Application through SHGs and banks,https://shgbanklink.in,N/A,N/A
Personal Accident Insurance for Farmers,Government,19-60,Male,OBC,Below Poverty Line,Rural,Insurance Support,Farmers with landholding and BPL status,"Accident coverage, funeral expenses",Application at local government offices,https://farmersinsurance.gov.in,N/A,N/A
Urban Small Business Support,Private,19-60,All,All,Middle,Urban,Business Support and Microcredit,Urban small business owners,"Loans, mentorship, market access",Online application,https://urbansmallbiz.com,Interest rate 14% p.a.,1-3 years
Pradhan Mantri Awas Yojana,Government,All,All,All,All,All India,Housing for All,Low-income families,"Subsidized housing, loans",Online application or through local authorities,https://pmay.gov.in,N/A,Lifetime
Skill Enhancement and Training Program,Government,19-35,All,All,Middle,All India,Skill Development,Young professionals and students,"Training certifications, placement assistance",Online registration or partner institutes,https://skilltrain.gov.in,N/A,6 months to 1 year
National Handloom Development Scheme,Government,19-60,All,All,All,All India,Handloom and Textile Industry Development,Handloom weavers and entrepreneurs,"Subsidies, training, marketing support",Application through textile department offices,https://handloom.gov.in,N/A,N/A
Urban Youth Employment Scheme,Government,19-35,All,All,Middle,Urban,Employment Generation,Urban youth seeking employment,"Job placement, training support",Apply online or through employment offices,https://urbanjobs.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,Below Poverty Line,All India,Child Education and Marriage Savings,Girl child below age 10,"Higher interest rate, tax benefits",Online or bank visit with birth certificate,https://sukanyasamriddhi.gov.in,N/A,21 years
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking Access for All,Any Indian citizen above age 10 with ID proof,"Zero balance accounts, debit card, insurance",Visit bank branch or online registration,https://janandolan.mygov.in,N/A,N/A
Microfinance Support Program,Private,19-35,All,OBC,Middle,Rural,Microcredit for Small Businesses,"Small business owners, entrepreneurs","Access to microloans, business training",Application through partner microfinance institutions,https://microfinanceindia.org,Interest rate 12-15% p.a.,1-5 years
National Pension Scheme,Government,36-60,All,All,Upper,All India,Retirement Savings,Indian residents aged 18-60,"Pension benefits, tax saving",Online or through authorized banks,https://npscra.nsdl.co.in,Interest + market-linked returns,Lifetime
Private Wealth Management Plan,Private,36-60,All,General,Upper,Urban,Wealth Accumulation,High net worth individuals,"Customized investment options, wealth management advisory",Direct contact with financial advisor,https://privatewealth.in,"Variable, typically 8-12% p.a.",N/A
Rural Savings Scheme,Government,All,All,All,Below Poverty Line,Rural,Savings for Rural Poor,Rural residents with income below poverty line,"Interest on savings, financial literacy programs",Local bank or post office,https://ruralsavings.gov.in,N/A,N/A
Women Entrepreneurs Credit Facility,Government,19-35,Female,OBC,Middle,Urban,Supporting Women Entrepreneurs,Women-owned micro or small enterprises,"Low-interest loans, mentoring support",Online application through government portal,https://womencentral.gov.in,Interest rate 9-11%,3-5 years
Universal Basic Savings Scheme,Government,0-60+,All,All,All,All India,Universal Savings Access,Any Indian resident,"Basic savings account, minimal charges",Bank registration,https://basicbanking.gov.in,N/A,N/A
Senior Citizens Pension Scheme,Government,60+,All,All,All,All India,Old Age Pension,Senior citizens with low income,"Monthly pension, healthcare benefits",Application at local government office,https://seniorpension.gov.in,"Monthly pension amount, varies by scheme",Lifetime
Affordable Housing Loan Scheme,Government,36-60,All,OBC,Middle,Urban,Housing for Middle-Income Families,"Middle-income families, valid proof of income","Low-interest housing loans, subsidy benefits",Application through government portal or bank,https://housingloan.gov.in,Interest rates around 7-9% p.a.,15-20 years
Digital Banking Literacy Campaign,Government,6-60+,All,All,All,All India,Financial Literacy and Digital Banking Adoption,"All residents, focus on rural and underserved areas","Improved banking access, digital skills training",Partnerships with local institutions,https://digitalbanking.gov.in,N/A,Ongoing
Start-up India Support Scheme,Government,19-35,All,All,Middle,Urban and Rural,Encourage Start-ups and Innovation,"Registered start-ups, Indian residents","Funding support, mentorship, incubation",Online registration on portal,https://startupsupport.gov.in,N/A,N/A
Micro Insurance Scheme,Private,19-60,All,All,Below Poverty Line,Rural and Urban,Microinsurance Cover for Poor,"Low-income individuals, informal sector workers","Affordable insurance policies, financial security",Application through local agents or online,https://microinsurance.org,N/A,N/A
Agri Finance Support Scheme,Government,All,All,All,Below Poverty Line,Rural,Agricultural Credit and Support,"Farmers, agricultural entrepreneurs","Low-interest loans, subsidies, training",Application at agriculture offices or banks,https://agrifinance.gov.in,Interest rate 7-10% p.a.,1-5 years
Self-Help Group Bank Linkage Program,Government,All,All,OBC,Below Poverty Line,Rural,Supporting SHGs for Financial Inclusion,Registered self-help groups with income below poverty line,"Bank loans, capacity building",Apply through bank branch or online,https://shgbanklinkage.gov.in,Interest rates around 9-13%,1-3 years
